fill	x	y	xmin	xmax	ymin	ymax
#8B80C0	16080	24	16055	16105	-1	49
#FFFEFE	16130	24	16105	16155	-1	49
#E9CECB	16130	74	16105	16155	49	99
#EDEAF5	16180	74	16155	16205	49	99
#F7EDEC	16180	124	16155	16205	99	149
#EDEBF5	16230	124	16205	16255	99	149
#B16B63	16230	174	16205	16255	149	199
#FDFBFB	16280	174	16255	16305	149	199
#EDD7D4	16280	224	16255	16305	199	249
#F8EEED	16330	224	16305	16355	199	249
#D9AFAA	16330	274	16305	16355	249	299
#F6EAE8	16380	274	16355	16405	249	299
#B2A9D5	16380	324	16355	16405	299	349
#F0EEF7	16430	324	16405	16455	299	349
#D6D0E9	16430	374	16405	16455	349	399
#E3DFF0	16480	374	16455	16505	349	399
#EDD7D4	16480	424	16455	16505	399	449
#E3C3BF	16530	424	16505	16555	399	449
#8D83C1	16530	474	16505	16555	449	499
#FDFAF9	16580	474	16555	16605	449	499
#F6F5FA	16580	524	16555	16605	499	549
#F4F3F9	16630	524	16605	16655	499	549
#3C3B99	16630	574	16605	16655	549	599
#EBD3D0	16680	574	16655	16705	549	599
#FBF6F5	16680	624	16655	16705	599	649
#EAD1CD	16730	624	16705	16755	599	649
#C48982	16730	674	16705	16755	649	699
#E2C0BC	16780	674	16755	16805	649	699
#C9C2E2	16780	724	16755	16805	699	749
#F8F7FB	16830	724	16805	16855	699	749
#832424	16830	774	16805	16855	749	799
#C48A83	16880	774	16855	16905	749	799
#F4F3F9	16180	24	16155	16205	-1	49
#E9E5F3	16280	124	16255	16305	99	149
#F5E9E7	16380	224	16355	16405	199	249
#FDFCFE	16480	324	16455	16505	299	349
#DAD5EB	16580	424	16555	16605	399	449
#FDFBFB	16680	524	16655	16705	499	549
#E9E6F3	16230	74	16205	16255	49	99
#FBF6F5	16330	174	16305	16355	149	199
#F8EFEE	16430	274	16405	16455	249	299
#EFDAD8	16530	374	16505	16555	349	399
#FDFBFB	16630	474	16605	16655	449	499
#F3F2F9	16730	574	16705	16755	549	599
#EEDAD7	16780	624	16755	16805	599	649
#F6EBEA	16830	674	16805	16855	649	699
