fill	x	y	xmin	xmax	ymin	ymax
#151515	0	0	-0.125	0.125	-2.5	2.5
#000000	0.25	0	0.125	0.375	-2.5	2.5
#161616	0.5	0	0.375	0.625	-2.5	2.5
#7B7B7B	1	5	0.875	1.125	2.5	7.5
#1A1A1A	0.75	0	0.625	0.875	-2.5	2.5
#2F2F2F	1.25	0	1.125	1.375	-2.5	2.5
#191919	1	0	0.875	1.125	-2.5	2.5
#121212	-0.5	0	-0.625	-0.375	-2.5	2.5
#0F0F0F	-0.25	0	-0.375	-0.125	-2.5	2.5
#252525	-1	0	-1.125	-0.875	-2.5	2.5
#191919	2	0	1.875	2.125	-2.5	2.5
#1C1C1C	-0.75	0	-0.875	-0.625	-2.5	2.5
#4F4F4F	2.25	0	2.125	2.375	-2.5	2.5
#303030	-1.5	0	-1.625	-1.375	-2.5	2.5
#363636	1.75	0	1.625	1.875	-2.5	2.5
#494949	-2	0	-2.125	-1.875	-2.5	2.5
#292929	1.5	0	1.375	1.625	-2.5	2.5
#3B3B3B	3.25	0	3.125	3.375	-2.5	2.5
#777777	-4.25	0	-4.375	-4.125	-2.5	2.5
#595959	-2.25	0	-2.375	-2.125	-2.5	2.5
#242424	-1.25	0	-1.375	-1.125	-2.5	2.5
#171717	-1.75	0	-1.875	-1.625	-2.5	2.5
#282828	-2.5	0	-2.625	-2.375	-2.5	2.5
#6D6D6D	-2.75	0	-2.875	-2.625	-2.5	2.5
#838383	-4.5	0	-4.625	-4.375	-2.5	2.5
#7C7C7C	3	0	2.875	3.125	-2.5	2.5
#686868	-4	0	-4.125	-3.875	-2.5	2.5
#383838	-3	0	-3.125	-2.875	-2.5	2.5
#5E5E5E	4	0	3.875	4.125	-2.5	2.5
#4D4D4D	3.75	0	3.625	3.875	-2.5	2.5
#707070	4.25	0	4.125	4.375	-2.5	2.5
#484848	-3.5	0	-3.625	-3.375	-2.5	2.5
#2A2A2A	2.75	0	2.625	2.875	-2.5	2.5
#626262	2.5	0	2.375	2.625	-2.5	2.5
#585858	-3.75	0	-3.875	-3.625	-2.5	2.5
#999999	-3.25	5	-3.375	-3.125	2.5	7.5
#858585	1.25	5	1.125	1.375	2.5	7.5
#848484	1.5	5	1.375	1.625	2.5	7.5
#8D8D8D	-1.5	5	-1.625	-1.375	2.5	7.5
#7C7C7C	-0.5	5	-0.625	-0.375	2.5	7.5
#A6A6A6	-0.25	5	-0.375	-0.125	2.5	7.5
#747474	0.75	5	0.625	0.875	2.5	7.5
#808080	4.5	0	4.375	4.625	-2.5	2.5
#909090	-1.75	5	-1.875	-1.625	2.5	7.5
#8C8C8C	-1.25	5	-1.375	-1.125	2.5	7.5
#898989	2	5	1.875	2.125	2.5	7.5
#888888	1.75	5	1.625	1.875	2.5	7.5
#949494	4.5	5	4.375	4.625	2.5	7.5
#7E7E7E	0.5	5	0.375	0.625	2.5	7.5
#9F9F9F	-4.5	5	-4.625	-4.375	2.5	7.5
#7F7F7F	-0.75	5	-0.875	-0.625	2.5	7.5
#868686	-1	5	-1.125	-0.875	2.5	7.5
#898989	2.25	5	2.125	2.375	2.5	7.5
#939393	-2.5	5	-2.625	-2.375	2.5	7.5
#C5C5C5	-3	5	-3.125	-2.875	2.5	7.5
#929292	-2.25	5	-2.375	-2.125	2.5	7.5
#A4A4A4	2.5	5	2.375	2.625	2.5	7.5
#9C9C9C	-4.75	5	-4.875	-4.625	2.5	7.5
#ABABAB	1	10	0.875	1.125	7.5	12.5
#A0A0A0	4.75	5	4.625	4.875	2.5	7.5
#D5D5D5	1.25	15	1.125	1.375	12.5	17.5
#BABABA	1.25	10	1.125	1.375	7.5	12.5
#959595	2.75	5	2.625	2.875	2.5	7.5
#919191	-2	5	-2.125	-1.875	2.5	7.5
#EEEEEE	-5.5	5	-5.625	-5.375	2.5	7.5
#B3B3B3	3.5	5	3.375	3.625	2.5	7.5
#AEAEAE	-2.75	5	-2.875	-2.625	2.5	7.5
#BFBFBF	-1.25	10	-1.375	-1.125	7.5	12.5
#ADADAD	-1	10	-1.125	-0.875	7.5	12.5
#9A9A9A	3.25	5	3.125	3.375	2.5	7.5
#DEDEDE	-1.5	15	-1.625	-1.375	12.5	17.5
#B5B5B5	0.75	10	0.625	0.875	7.5	12.5
#FFFFFF	1.75	20	1.625	1.875	17.5	22.5
#BABABA	0.25	5	0.125	0.375	2.5	7.5
#C3C3C3	-3.5	5	-3.625	-3.375	2.5	7.5
#B7B7B7	-1	15	-1.125	-0.875	12.5	17.5
#A1A1A1	-0.75	10	-0.875	-0.625	7.5	12.5
#CBCBCB	3	5	2.875	3.125	2.5	7.5
#BFBFBF	-5	5	-5.125	-4.875	2.5	7.5
#D1D1D1	-5.25	5	-5.375	-5.125	2.5	7.5
#B9B9B9	5	5	4.875	5.125	2.5	7.5
#CBCBCB	1	15	0.875	1.125	12.5	17.5
#E5E5E5	-1.5	25	-1.625	-1.375	22.5	27.5
#CBCBCB	5.25	5	5.125	5.375	2.5	7.5
#D9D9D9	-3.75	5	-3.875	-3.625	2.5	7.5
#C7C7C7	3.75	5	3.625	3.875	2.5	7.5
#FFFFFF	5.5	5	5.375	5.625	2.5	7.5
#EEEEEE	-2	15	-2.125	-1.875	12.5	17.5
#E5E5E5	-1.75	10	-1.875	-1.625	7.5	12.5
#FFFFFF	-2.25	15	-2.375	-2.125	12.5	17.5
#EEEEEE	-1.25	15	-1.375	-1.125	12.5	17.5
#D1D1D1	-1.5	10	-1.625	-1.375	7.5	12.5
