group	fill	clickSelects
1	#FFFFFF	7
2	#FFFFFF	7
3	#FFFFFF	7
4	#FFFFFF	7
5	#FFFFFF	7
6	#FFFFFF	601
7	#FFFFFF	7
8	#FFFFFF	601
9	#FFFFFF	7
10	#FFFFFF	7
11	#FFFFFF	53
12	#FFFFFF	53
13	#FFFFFF	53
14	#FFFFFF	7
15	#FFFFFF	53
16	#FFFFFF	53
17	#FFFFFF	108
18	#FFFFFF	108
19	#FFFFFF	108
20	#FFFFFF	108
21	#FFFFFF	108
22	#FFFFFF	53
23	#FFFFFF	53
24	#FFFFFF	108
25	#FFFFFF	7
26	#FFFFFF	53
27	#FFFFFF	53
28	#FFFFFF	53
29	#FFFFFF	108
30	#FFFFFF	108
31	#FFFFFF	108
32	#FFFFFF	108
33	#FFFFFF	108
34	#FFFFFF	108
35	#FFFFFF	108
36	#FFFFFF	7
37	#FFFFFF	285
38	#FFFFFF	285
39	#FFFFFF	58
40	#FFFFFF	58
41	#FFFFFF	58
42	#FFFFFF	58
43	#FFFFFF	58
44	#FFFFFF	58
45	#FFFFFF	285
46	#FFFFFF	7
47	#FFFFFF	7
48	#FFFFFF	7
49	#FFFFFF	601
50	#FFFFFF	601
51	#FFFFFF	7
52	#FFFFFF	7
53	#FFFFFF	7
54	#FFFFFF	601
55	#FFFFFF	601
56	#FFFFFF	601
57	#FFFFFF	601
59	#FFFFFF	7
60	#FFFFFF	7
61	#FFFFFF	7
62	#FFFFFF	53
63	#FFFFFF	53
64	#FFFFFF	7
65	#FFFFFF	53
66	#FFFFFF	53
67	#FFFFFF	53
68	#FFFFFF	53
69	#FFFFFF	108
70	#FFFFFF	108
71	#FFFFFF	108
72	#FFFFFF	108
73	#FFFFFF	53
74	#FFFFFF	53
75	#FFFFFF	7
76	#FFFFFF	108
77	#FFFFFF	53
78	#FFFFFF	53
79	#FFFFFF	108
80	#FFFFFF	108
81	#FFFFFF	108
82	#FFFFFF	108
83	#FFFFFF	108
84	#FFFFFF	108
85	#FFFFFF	108
86	#FFFFFF	7
87	#FFFFFF	108
88	#FFFFFF	285
89	#FFFFFF	285
90	#FFFFFF	58
91	#FFFFFF	58
92	#FFFFFF	58
93	#FFFFFF	58
