group	label	showSelected1
1	Cluster 21: 1749/7842 pixels shown, logFC -4.8 to 4.9, log10(p) 0.0 to 3.3	21
1	Cluster 22: 5/15275 pixels shown, logFC -5.2 to 4.9, log10(p) 0.0 to 4.2	22
1	Cluster 80: 144/163 pixels shown, logFC -4.4 to 3.3, log10(p) 0.0 to 2.2	80
1	Cluster 83: 389/526 pixels shown, logFC -3.5 to 4.2, log10(p) 0.0 to 2.0	83
1	Cluster 112: 180/2656 pixels shown, logFC -4.4 to 4.4, log10(p) 0.0 to 2.9	112
1	Cluster 139: 416/1068 pixels shown, logFC -4.2 to 3.6, log10(p) 0.0 to 2.0	139
1	Cluster 146: 483/526 pixels shown, logFC -4.7 to 3.3, log10(p) 0.0 to 2.8	146
1	Cluster 155: 71/1431 pixels shown, logFC -4.7 to 4.2, log10(p) 0.0 to 2.8	155
1	Cluster 209: 87/763 pixels shown, logFC -5.0 to 3.9, log10(p) 0.0 to 3.5	209
1	Cluster 309: 84/84 pixels shown, logFC -3.5 to 3.9, log10(p) 0.0 to 1.7	309
1	Cluster 355: 33/686 pixels shown, logFC -4.2 to 3.9, log10(p) 0.0 to 2.0	355
1	Cluster 526: 92/256 pixels shown, logFC -4.2 to 2.8, log10(p) 0.0 to 2.1	526
1	Cluster 531: 29/42 pixels shown, logFC -0.6 to 3.9, log10(p) 0.0 to 1.7	531
1	Cluster 667: 15/102 pixels shown, logFC -0.6 to 3.6, log10(p) 0.0 to 1.7	667
1	Cluster 762: 94/94 pixels shown, logFC -4.2 to 2.0, log10(p) 0.0 to 2.0	762
1	Cluster 958: 42/42 pixels shown, logFC -3.1 to 2.0, log10(p) 0.0 to 1.0	958
1	Cluster 988: 30/30 pixels shown, logFC 0.2 to 3.3, log10(p) 0.0 to 1.1	988
1	Cluster 1028: 19/19 pixels shown, logFC 0.7 to 3.3, log10(p) 0.2 to 1.1	1028
1	Cluster 1139: 8/8 pixels shown, logFC 1.5 to 3.6, log10(p) 0.4 to 1.4	1139
